,objective_description,objective_formulation,constraint_description,constraint_formulation,labels,description,problem_name
157,The goal is to determine the number of each type of item to make in order to minimize the total amount of fiber needed.,$\min (\text{FiberPerBrownie} \times \text{numBrownies} + \text{FiberPerLemonSquare} \times \text{numLemonSquares})$,Total units of chocolate mix required for brownies must not exceed TotalChocolateMix,$ChocolateMixPerBrownie \times numBrownies \leq TotalChocolateMix$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Blending'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}","A bakery makes brownies and lemon squares. Each brownie requires ChocolateMixPerBrownie units of chocolate mix and FiberPerBrownie units of fiber. Each lemon square requires LemonMixPerLemonSquare units of lemon mix and FiberPerLemonSquare units of fiber. Lemon squares sell faster, so the number of lemon squares made must be larger than the number of brownies made. At least MinBrowniesRatio of the items made must be brownies. The bakery has TotalChocolateMix units of chocolate mix and TotalLemonMix units of lemon mix. The goal is to determine the number of each type of item to make in order to minimize the total amount of fiber needed.",59
158,The goal is to determine the number of each type of item to make in order to minimize the total amount of fiber needed.,$\min (\text{FiberPerBrownie} \times \text{numBrownies} + \text{FiberPerLemonSquare} \times \text{numLemonSquares})$,Total units of lemon mix required for lemon squares must not exceed TotalLemonMix,$numLemonSquares \times LemonMixPerLemonSquare \leq TotalLemonMix$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Blending'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}","A bakery makes brownies and lemon squares. Each brownie requires ChocolateMixPerBrownie units of chocolate mix and FiberPerBrownie units of fiber. Each lemon square requires LemonMixPerLemonSquare units of lemon mix and FiberPerLemonSquare units of fiber. Lemon squares sell faster, so the number of lemon squares made must be larger than the number of brownies made. At least MinBrowniesRatio of the items made must be brownies. The bakery has TotalChocolateMix units of chocolate mix and TotalLemonMix units of lemon mix. The goal is to determine the number of each type of item to make in order to minimize the total amount of fiber needed.",59
159,"""The goal is to minimize the total number of healthcare workers scheduled""",$ \min (\text{nurses} + \text{pharmacists})$,Total labor hours provided by nurses and pharmacists should be at least equal to TotalLaborHoursRequired,$nurses \times NurseHoursPerShift + pharmacists \times PharmacistHoursPerShift \geq TotalLaborHoursRequired$,"{'types': ['Resource Allocation and Management', 'Workforce Management'], 'domains': ['Healthcare and Medical']}","A clinic employs nurses and pharmacists to deliver shots to patients. A nurse works NurseHoursPerShift per shift while a pharmacist works PharmacistHoursPerShift per shift. Nurses are paid NursePaymentPerShift per shift while pharmacists are paid PharmacistPaymentPerShift per shift. The clinic needs TotalLaborHoursRequired of healthcare labor to meet needs. If the firm has a budget of TotalBudget, how many of each healthcare worker should be scheduled to minimize the total number of workers?",60
160,"""The goal is to minimize the total number of healthcare workers scheduled""",$ \min (\text{nurses} + \text{pharmacists})$,Total payment for nurses and pharmacists should not exceed TotalBudget,$(nurses \times NursePaymentPerShift) + (pharmacists \times PharmacistPaymentPerShift) \leq TotalBudget$,"{'types': ['Resource Allocation and Management', 'Workforce Management'], 'domains': ['Healthcare and Medical']}","A clinic employs nurses and pharmacists to deliver shots to patients. A nurse works NurseHoursPerShift per shift while a pharmacist works PharmacistHoursPerShift per shift. Nurses are paid NursePaymentPerShift per shift while pharmacists are paid PharmacistPaymentPerShift per shift. The clinic needs TotalLaborHoursRequired of healthcare labor to meet needs. If the firm has a budget of TotalBudget, how many of each healthcare worker should be scheduled to minimize the total number of workers?",60
161,"""The goal is to minimize the total number of washing machines""",$\min (\text{numTopLoading} + \text{numFrontLoading})$,The laundromat must be able to wash at least MinWashingCapacityRequired items per day,$WashingCapacityTopLoading \\times numTopLoading + WashingCapacityFrontLoading \\times numFrontLoading \\geq MinWashingCapacityRequired$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Sizing'], 'domains': ['Manufacturing and Production']}","A laundromat can buy two types of washing machines, a top-loading model and a front-loading model. The top-loading model can wash WashingCapacityTopLoading items per day while the front-loading model can wash WashingCapacityFrontLoading items per day. The top-loading model consumes EnergyConsumptionTopLoading kWh per day while the front-loading model consumes EnergyConsumptionFrontLoading kWh per day. The laundromat must be able to wash at least MinWashingCapacityRequired items per day and has available MaxEnergyAvailable kWh per day. Since the top-loading machines are harder to use, at most MaxPercentageTopLoading of the machines can be top-loading. Further, at least MinFrontLoadingMachines should be front-loading. How many of each machine should the laundromat buy to minimize the total number of washing machines?",61
162,"""The goal is to minimize the total number of washing machines""",$\min (\text{numTopLoading} + \text{numFrontLoading})$,The total energy consumption per day must not exceed MaxEnergyAvailable kWh per day,$numTopLoading \times EnergyConsumptionTopLoading + numFrontLoading \times EnergyConsumptionFrontLoading \leq MaxEnergyAvailable$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Sizing'], 'domains': ['Manufacturing and Production']}","A laundromat can buy two types of washing machines, a top-loading model and a front-loading model. The top-loading model can wash WashingCapacityTopLoading items per day while the front-loading model can wash WashingCapacityFrontLoading items per day. The top-loading model consumes EnergyConsumptionTopLoading kWh per day while the front-loading model consumes EnergyConsumptionFrontLoading kWh per day. The laundromat must be able to wash at least MinWashingCapacityRequired items per day and has available MaxEnergyAvailable kWh per day. Since the top-loading machines are harder to use, at most MaxPercentageTopLoading of the machines can be top-loading. Further, at least MinFrontLoadingMachines should be front-loading. How many of each machine should the laundromat buy to minimize the total number of washing machines?",61
163,"""The goal is to minimize the total number of washing machines""",$\min (\text{numTopLoading} + \text{numFrontLoading})$,At most MaxPercentageTopLoading of the total machines can be top-loading,$\\text{numTopLoading} \\leq \\text{MaxPercentageTopLoading} \\times (\\text{numTopLoading} + \\text{numFrontLoading})$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Sizing'], 'domains': ['Manufacturing and Production']}","A laundromat can buy two types of washing machines, a top-loading model and a front-loading model. The top-loading model can wash WashingCapacityTopLoading items per day while the front-loading model can wash WashingCapacityFrontLoading items per day. The top-loading model consumes EnergyConsumptionTopLoading kWh per day while the front-loading model consumes EnergyConsumptionFrontLoading kWh per day. The laundromat must be able to wash at least MinWashingCapacityRequired items per day and has available MaxEnergyAvailable kWh per day. Since the top-loading machines are harder to use, at most MaxPercentageTopLoading of the machines can be top-loading. Further, at least MinFrontLoadingMachines should be front-loading. How many of each machine should the laundromat buy to minimize the total number of washing machines?",61
164,"""The goal is to minimize the total number of washing machines""",$\min (\text{numTopLoading} + \text{numFrontLoading})$,At least MinFrontLoadingMachines should be front-loading,$numFrontLoading \geq MinFrontLoadingMachines$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Sizing'], 'domains': ['Manufacturing and Production']}","A laundromat can buy two types of washing machines, a top-loading model and a front-loading model. The top-loading model can wash WashingCapacityTopLoading items per day while the front-loading model can wash WashingCapacityFrontLoading items per day. The top-loading model consumes EnergyConsumptionTopLoading kWh per day while the front-loading model consumes EnergyConsumptionFrontLoading kWh per day. The laundromat must be able to wash at least MinWashingCapacityRequired items per day and has available MaxEnergyAvailable kWh per day. Since the top-loading machines are harder to use, at most MaxPercentageTopLoading of the machines can be top-loading. Further, at least MinFrontLoadingMachines should be front-loading. How many of each machine should the laundromat buy to minimize the total number of washing machines?",61
165,The goal is to minimize the total number of vans needed to meet the delivery and pollution constraints.,$\min (\text{regularVans} + \text{hybridVans})$,The total pollution produced by the vans should be at most MaxPollution units per day,$regularVans \times RegularVanPollution + hybridVans \times HybridVanPollution \leq MaxPollution$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Environmental and Sustainability']}","A shipping company can purchase RegularVans and HybridVans to make deliveries. A RegularVan can deliver RegularVanCapacity packages per day and produces RegularVanPollution units of pollutants. A HybridVan can deliver HybridVanCapacity packages per day and produces HybridVanPollution units of pollutants. Due to a new environmental law, they can produce at most MaxPollution units of pollutants per day. However, the company needs to be able to deliver at least MinPackages packages per day. How many of each type of van should they buy to minimize the total number of vans needed?",63
166,The goal is to minimize the total number of vans needed to meet the delivery and pollution constraints.,$\min (\text{regularVans} + \text{hybridVans})$,The total number of packages delivered by the vans should be at least MinPackages packages per day,$\\text{regularVans} \\times \\text{RegularVanCapacity} + \\text{hybridVans} \\times \\text{HybridVanCapacity} \\geq \\text{MinPackages}$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Environmental and Sustainability']}","A shipping company can purchase RegularVans and HybridVans to make deliveries. A RegularVan can deliver RegularVanCapacity packages per day and produces RegularVanPollution units of pollutants. A HybridVan can deliver HybridVanCapacity packages per day and produces HybridVanPollution units of pollutants. Due to a new environmental law, they can produce at most MaxPollution units of pollutants per day. However, the company needs to be able to deliver at least MinPackages packages per day. How many of each type of van should they buy to minimize the total number of vans needed?",63
167,"""The goal is to maximize the total production of carbon dioxide""",$\max (\text{CO2WithCatalyst} \times \text{numCatalystProcessUses} + \text{CO2WithoutCatalyst} \times \text{numNonCatalystProcessUses})$,The total amount of wood used by both processes should not exceed the total available units of wood: WoodWithCatalyst * number_of_times_process_with_catalyst_is_used + WoodWithoutCatalyst * number_of_times_process_without_catalyst_is_used <= TotalWood,$\\text{WoodWithCatalyst} \\times \\text{numCatalystProcessUses} + \\text{WoodWithoutCatalyst} \\times \\text{numNonCatalystProcessUses} \\leq \\text{TotalWood}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Environmental and Sustainability']}","The objective is to maximize the amount of carbon dioxide produced using two different processes: one with a catalyst and one without a catalyst. The process with a catalyst requires 'WoodWithCatalyst' units of wood and 'OxygenWithCatalyst' units of oxygen to produce 'CO2WithCatalyst' units of carbon dioxide. The process without a catalyst requires 'WoodWithoutCatalyst' units of wood and 'OxygenWithoutCatalyst' units of oxygen to produce 'CO2WithoutCatalyst' units of carbon dioxide. The total available resources are 'TotalWood' units of wood and 'TotalOxygen' units of oxygen. The decision variables are the number of times the process with a catalyst is used and the number of times the process without a catalyst is used. The aim is to find the optimal number of each process to maximize the total production of carbon dioxide, subject to the constraints on the availability of wood and oxygen.",64
168,"""The goal is to maximize the total production of carbon dioxide""",$\max (\text{CO2WithCatalyst} \times \text{numCatalystProcessUses} + \text{CO2WithoutCatalyst} \times \text{numNonCatalystProcessUses})$,The total amount of oxygen used by both processes should not exceed the total available units of oxygen: OxygenWithCatalyst * number_of_times_process_with_catalyst_is_used + OxygenWithoutCatalyst * number_of_times_process_without_catalyst_is_used <= TotalOxygen,$OxygenWithCatalyst \\times numCatalystProcessUses + OxygenWithoutCatalyst \\times numNonCatalystProcessUses \\leq TotalOxygen$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Environmental and Sustainability']}","The objective is to maximize the amount of carbon dioxide produced using two different processes: one with a catalyst and one without a catalyst. The process with a catalyst requires 'WoodWithCatalyst' units of wood and 'OxygenWithCatalyst' units of oxygen to produce 'CO2WithCatalyst' units of carbon dioxide. The process without a catalyst requires 'WoodWithoutCatalyst' units of wood and 'OxygenWithoutCatalyst' units of oxygen to produce 'CO2WithoutCatalyst' units of carbon dioxide. The total available resources are 'TotalWood' units of wood and 'TotalOxygen' units of oxygen. The decision variables are the number of times the process with a catalyst is used and the number of times the process without a catalyst is used. The aim is to find the optimal number of each process to maximize the total production of carbon dioxide, subject to the constraints on the availability of wood and oxygen.",64
169,"""The goal is to maximize the amount of tea leaves that can be picked.""",$\max \left( \text{TealeavesTraditional} \cdot \text{acresTraditional} + \text{TealeavesModern} \cdot \text{acresModern} \right)$,The total number of acres used by the traditional and modern machines should not exceed the TotalLand,$acresTraditional + acresModern \leq TotalLand$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Agriculture and Forestry']}","A tea estate has TotalLand acres of land available and they need to pick the tea leaves either using a traditional machine or modern machine. For each acre of land, the traditional machine can pick TealeavesTraditional kg of tea leaves, creates WasteTraditional kg of waste, and requires FuelTraditional liters of fuel. For each acre of land, the modern machine can pick TealeavesModern kg of tea leaves, creates WasteModern kg of waste, and requires FuelModern liters of fuel. The estate has available TotalFuel liters of fuel and can handle at most MaxWaste kg of waste. For how many acres should each machine be used to maximize the amount of tea leaves that can be picked?",65
170,"""The goal is to maximize the amount of tea leaves that can be picked.""",$\max \left( \text{TealeavesTraditional} \cdot \text{acresTraditional} + \text{TealeavesModern} \cdot \text{acresModern} \right)$,The total fuel used by both traditional and modern machines should not exceed the TotalFuel,$FuelTraditional \times acresTraditional + FuelModern \times acresModern \leq TotalFuel$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Agriculture and Forestry']}","A tea estate has TotalLand acres of land available and they need to pick the tea leaves either using a traditional machine or modern machine. For each acre of land, the traditional machine can pick TealeavesTraditional kg of tea leaves, creates WasteTraditional kg of waste, and requires FuelTraditional liters of fuel. For each acre of land, the modern machine can pick TealeavesModern kg of tea leaves, creates WasteModern kg of waste, and requires FuelModern liters of fuel. The estate has available TotalFuel liters of fuel and can handle at most MaxWaste kg of waste. For how many acres should each machine be used to maximize the amount of tea leaves that can be picked?",65
171,"""The goal is to maximize the amount of tea leaves that can be picked.""",$\max \left( \text{TealeavesTraditional} \cdot \text{acresTraditional} + \text{TealeavesModern} \cdot \text{acresModern} \right)$,The total waste generated by both traditional and modern machines should not exceed the MaxWaste,$WasteTraditional \cdot acresTraditional + WasteModern \cdot acresModern \leq MaxWaste$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Agriculture and Forestry']}","A tea estate has TotalLand acres of land available and they need to pick the tea leaves either using a traditional machine or modern machine. For each acre of land, the traditional machine can pick TealeavesTraditional kg of tea leaves, creates WasteTraditional kg of waste, and requires FuelTraditional liters of fuel. For each acre of land, the modern machine can pick TealeavesModern kg of tea leaves, creates WasteModern kg of waste, and requires FuelModern liters of fuel. The estate has available TotalFuel liters of fuel and can handle at most MaxWaste kg of waste. For how many acres should each machine be used to maximize the amount of tea leaves that can be picked?",65
172,"""The goal is to minimize the total number of stamping machines""",$\min (numModel1 + numModel2)$,The number of the first model of machines must be less than the number of the second model,$numModel1 < numModel2$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production']}","An organization is purchasing 2 different models of stamping machines. Each model has a specific StampingRate and GlueConsumption per minute. The number of the first model of machines must be less than the number of the second model. Additionally, the organization aims to ensure they can process at least MinLetters letters per minute and use at most MaxGlue units of glue per minute. The objective is to determine the number of each model of stamping machines to minimize the total number of stamping machines.",67
173,"""The goal is to minimize the total number of stamping machines""",$\min (numModel1 + numModel2)$,The sum of StampingRates of the machines must be at least MinLetters,$StampingRate[0] \cdot numModel1 + StampingRate[1] \cdot numModel2 \geq MinLetters$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production']}","An organization is purchasing 2 different models of stamping machines. Each model has a specific StampingRate and GlueConsumption per minute. The number of the first model of machines must be less than the number of the second model. Additionally, the organization aims to ensure they can process at least MinLetters letters per minute and use at most MaxGlue units of glue per minute. The objective is to determine the number of each model of stamping machines to minimize the total number of stamping machines.",67
174,"""The goal is to minimize the total number of stamping machines""",$\min (numModel1 + numModel2)$,The sum of GlueConsumption of the machines must be at most MaxGlue,$\\text{GlueConsumption}[0] \\times \\text{numModel1} + \\text{GlueConsumption}[1] \\times \\text{numModel2} \\leq \\text{MaxGlue}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production']}","An organization is purchasing 2 different models of stamping machines. Each model has a specific StampingRate and GlueConsumption per minute. The number of the first model of machines must be less than the number of the second model. Additionally, the organization aims to ensure they can process at least MinLetters letters per minute and use at most MaxGlue units of glue per minute. The objective is to determine the number of each model of stamping machines to minimize the total number of stamping machines.",67
175,"""The goal is to maximize the total number of crates used""",$\max ( \text{smallCrates} + \text{largeCrates} )$,The number of large crates must be at least MinLargeToSmallRatio times the number of small crates,$largeCrates \\geq MinLargeToSmallRatio \\times smallCrates$,"{'types': ['Resource Allocation and Management', 'Sizing', 'Packaging'], 'domains': ['Manufacturing and Production', 'Supply Chain Management', 'Food and Beverage']}","A company sells their bananas in small and large crates. A small crate can hold BananasPerSmallCrate bananas while a large crate can hold BananasPerLargeCrate bananas. The number of large crates must be at least MinLargeToSmallRatio times the number of small crates. However, at least MinSmallCrates small crates should be used. If the company has TotalBananas available bananas, how many of each crate should the company use to maximize the total number of crates used?",68
176,"""The goal is to maximize the total number of crates used""",$\max ( \text{smallCrates} + \text{largeCrates} )$,At least MinSmallCrates small crates should be used,$\\text{smallCrates} \\geq \\text{MinSmallCrates}$,"{'types': ['Resource Allocation and Management', 'Sizing', 'Packaging'], 'domains': ['Manufacturing and Production', 'Supply Chain Management', 'Food and Beverage']}","A company sells their bananas in small and large crates. A small crate can hold BananasPerSmallCrate bananas while a large crate can hold BananasPerLargeCrate bananas. The number of large crates must be at least MinLargeToSmallRatio times the number of small crates. However, at least MinSmallCrates small crates should be used. If the company has TotalBananas available bananas, how many of each crate should the company use to maximize the total number of crates used?",68
177,"""The goal is to maximize the total number of crates used""",$\max ( \text{smallCrates} + \text{largeCrates} )$,The total number of bananas used by small and large crates should not exceed the TotalBananas available,$BananasPerSmallCrate \cdot smallCrates + BananasPerLargeCrate \cdot largeCrates \leq TotalBananas$,"{'types': ['Resource Allocation and Management', 'Sizing', 'Packaging'], 'domains': ['Manufacturing and Production', 'Supply Chain Management', 'Food and Beverage']}","A company sells their bananas in small and large crates. A small crate can hold BananasPerSmallCrate bananas while a large crate can hold BananasPerLargeCrate bananas. The number of large crates must be at least MinLargeToSmallRatio times the number of small crates. However, at least MinSmallCrates small crates should be used. If the company has TotalBananas available bananas, how many of each crate should the company use to maximize the total number of crates used?",68
178,The goal is to minimize the total amount of crepe mix needed.,$\min \left( \text{CrepeMixForChocolateCrepe} \times \text{numChocolateCrepes} + \text{CrepeMixForPeanutButterCrepe} \times \text{numPeanutButterCrepes} \right)$,The number of peanut butter crepes made (NumPeanutButterCrepes) must exceed the number of chocolate crepes made (NumChocolateCrepes),$\text{NumPeanutButterCrepes} > \text{NumChocolateCrepes}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Retail and E-commerce', 'Food and Beverage']}","A store sells two types of crepes: chocolate crepes and peanut butter crepes. A chocolate crepe requires ChocolateSpreadForChocolateCrepe units of chocolate spread and CrepeMixForChocolateCrepe units of crepe mix. A peanut butter crepe requires PeanutButterSpreadForPeanutButterCrepe units of peanut butter spread and CrepeMixForPeanutButterCrepe units of crepe mix. The number of peanut butter crepes made (NumPeanutButterCrepes) must exceed the number of chocolate crepes made (NumChocolateCrepes). Additionally, at least MinimumChocolateCrepeProportion of the total crepes made should be chocolate crepes, i.e., NumChocolateCrepes should be at least MinimumChocolateCrepeProportion * (NumChocolateCrepes + NumPeanutButterCrepes). The store has TotalChocolateSpread units of chocolate spread and TotalPeanutButterSpread units of peanut butter spread available. The total amount of chocolate spread used by all chocolate crepes must not exceed TotalChocolateSpread, and the total amount of peanut butter spread used by all peanut butter crepes must not exceed TotalPeanutButterSpread. The objective is to determine NumChocolateCrepes and NumPeanutButterCrepes to minimize the total amount of crepe mix needed while satisfying these constraints.",69
179,The goal is to minimize the total amount of crepe mix needed.,$\min \left( \text{CrepeMixForChocolateCrepe} \times \text{numChocolateCrepes} + \text{CrepeMixForPeanutButterCrepe} \times \text{numPeanutButterCrepes} \right)$,auxiliary constraint,"$\text{NumPeanutButterCrepes} > \text{NumChocolateCrepes}$
```

Let's put it all together correctly:

```json
{
    ""FORMULATION"": ""$\text{NumPeanutButterCrepes} > \text{NumChocolateCrepes}$","{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Retail and E-commerce', 'Food and Beverage']}","A store sells two types of crepes: chocolate crepes and peanut butter crepes. A chocolate crepe requires ChocolateSpreadForChocolateCrepe units of chocolate spread and CrepeMixForChocolateCrepe units of crepe mix. A peanut butter crepe requires PeanutButterSpreadForPeanutButterCrepe units of peanut butter spread and CrepeMixForPeanutButterCrepe units of crepe mix. The number of peanut butter crepes made (NumPeanutButterCrepes) must exceed the number of chocolate crepes made (NumChocolateCrepes). Additionally, at least MinimumChocolateCrepeProportion of the total crepes made should be chocolate crepes, i.e., NumChocolateCrepes should be at least MinimumChocolateCrepeProportion * (NumChocolateCrepes + NumPeanutButterCrepes). The store has TotalChocolateSpread units of chocolate spread and TotalPeanutButterSpread units of peanut butter spread available. The total amount of chocolate spread used by all chocolate crepes must not exceed TotalChocolateSpread, and the total amount of peanut butter spread used by all peanut butter crepes must not exceed TotalPeanutButterSpread. The objective is to determine NumChocolateCrepes and NumPeanutButterCrepes to minimize the total amount of crepe mix needed while satisfying these constraints.",69
180,The goal is to minimize the total amount of crepe mix needed.,$\min \left( \text{CrepeMixForChocolateCrepe} \times \text{numChocolateCrepes} + \text{CrepeMixForPeanutButterCrepe} \times \text{numPeanutButterCrepes} \right)$,NumChocolateCrepes should be at least MinimumChocolateCrepeProportion times the total number of crepes made (NumChocolateCrepes + NumPeanutButterCrepes),$x \geq \text{MinimumChocolateCrepeProportion} \cdot (x + y)$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Retail and E-commerce', 'Food and Beverage']}","A store sells two types of crepes: chocolate crepes and peanut butter crepes. A chocolate crepe requires ChocolateSpreadForChocolateCrepe units of chocolate spread and CrepeMixForChocolateCrepe units of crepe mix. A peanut butter crepe requires PeanutButterSpreadForPeanutButterCrepe units of peanut butter spread and CrepeMixForPeanutButterCrepe units of crepe mix. The number of peanut butter crepes made (NumPeanutButterCrepes) must exceed the number of chocolate crepes made (NumChocolateCrepes). Additionally, at least MinimumChocolateCrepeProportion of the total crepes made should be chocolate crepes, i.e., NumChocolateCrepes should be at least MinimumChocolateCrepeProportion * (NumChocolateCrepes + NumPeanutButterCrepes). The store has TotalChocolateSpread units of chocolate spread and TotalPeanutButterSpread units of peanut butter spread available. The total amount of chocolate spread used by all chocolate crepes must not exceed TotalChocolateSpread, and the total amount of peanut butter spread used by all peanut butter crepes must not exceed TotalPeanutButterSpread. The objective is to determine NumChocolateCrepes and NumPeanutButterCrepes to minimize the total amount of crepe mix needed while satisfying these constraints.",69
181,The goal is to minimize the total amount of crepe mix needed.,$\min \left( \text{CrepeMixForChocolateCrepe} \times \text{numChocolateCrepes} + \text{CrepeMixForPeanutButterCrepe} \times \text{numPeanutButterCrepes} \right)$,The total amount of chocolate spread used by all chocolate crepes must not exceed TotalChocolateSpread,$ChocolateSpreadForChocolateCrepe \times numChocolateCrepes \leq TotalChocolateSpread$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Retail and E-commerce', 'Food and Beverage']}","A store sells two types of crepes: chocolate crepes and peanut butter crepes. A chocolate crepe requires ChocolateSpreadForChocolateCrepe units of chocolate spread and CrepeMixForChocolateCrepe units of crepe mix. A peanut butter crepe requires PeanutButterSpreadForPeanutButterCrepe units of peanut butter spread and CrepeMixForPeanutButterCrepe units of crepe mix. The number of peanut butter crepes made (NumPeanutButterCrepes) must exceed the number of chocolate crepes made (NumChocolateCrepes). Additionally, at least MinimumChocolateCrepeProportion of the total crepes made should be chocolate crepes, i.e., NumChocolateCrepes should be at least MinimumChocolateCrepeProportion * (NumChocolateCrepes + NumPeanutButterCrepes). The store has TotalChocolateSpread units of chocolate spread and TotalPeanutButterSpread units of peanut butter spread available. The total amount of chocolate spread used by all chocolate crepes must not exceed TotalChocolateSpread, and the total amount of peanut butter spread used by all peanut butter crepes must not exceed TotalPeanutButterSpread. The objective is to determine NumChocolateCrepes and NumPeanutButterCrepes to minimize the total amount of crepe mix needed while satisfying these constraints.",69
182,The goal is to minimize the total amount of crepe mix needed.,$\min \left( \text{CrepeMixForChocolateCrepe} \times \text{numChocolateCrepes} + \text{CrepeMixForPeanutButterCrepe} \times \text{numPeanutButterCrepes} \right)$,The total amount of peanut butter spread used by all peanut butter crepes must not exceed TotalPeanutButterSpread,$\text{numPeanutButterCrepes} \times \text{PeanutButterSpreadForPeanutButterCrepe} \leq \text{TotalPeanutButterSpread}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Retail and E-commerce', 'Food and Beverage']}","A store sells two types of crepes: chocolate crepes and peanut butter crepes. A chocolate crepe requires ChocolateSpreadForChocolateCrepe units of chocolate spread and CrepeMixForChocolateCrepe units of crepe mix. A peanut butter crepe requires PeanutButterSpreadForPeanutButterCrepe units of peanut butter spread and CrepeMixForPeanutButterCrepe units of crepe mix. The number of peanut butter crepes made (NumPeanutButterCrepes) must exceed the number of chocolate crepes made (NumChocolateCrepes). Additionally, at least MinimumChocolateCrepeProportion of the total crepes made should be chocolate crepes, i.e., NumChocolateCrepes should be at least MinimumChocolateCrepeProportion * (NumChocolateCrepes + NumPeanutButterCrepes). The store has TotalChocolateSpread units of chocolate spread and TotalPeanutButterSpread units of peanut butter spread available. The total amount of chocolate spread used by all chocolate crepes must not exceed TotalChocolateSpread, and the total amount of peanut butter spread used by all peanut butter crepes must not exceed TotalPeanutButterSpread. The objective is to determine NumChocolateCrepes and NumPeanutButterCrepes to minimize the total amount of crepe mix needed while satisfying these constraints.",69
183,"""The goal is to minimize the total number of fire fighters hired while meeting the required hours of fire fighter time within the given budget.""",$\min (\text{regularShifts} + \text{emergencyShifts})$,The total hours worked by regular and emergency fire fighters must be at least MinHoursRequired,$regularShifts \\times HoursRegularShift + emergencyShifts \\times HoursEmergencyShift \\geq MinHoursRequired$,"{'types': ['Resource Allocation and Management', 'Workforce Management'], 'domains': ['Government and Public Sector', 'Environmental and Sustainability']}","A fire department employs regular and emergency fire fighters. A regular fire fighter works HoursRegularShift per shift and earns EarningsRegular. An emergency fire fighter works HoursEmergencyShift per shift and earns EarningsEmergency. Due to wildfires in the region, the fire department needs at least MinHoursRequired hours of fire fighter time. If the fire department has a budget of Budget, how many of each should the fire department hire to minimize the total number of fire fighters?",70
184,"""The goal is to minimize the total number of fire fighters hired while meeting the required hours of fire fighter time within the given budget.""",$\min (\text{regularShifts} + \text{emergencyShifts})$,The total earnings of regular and emergency fire fighters must not exceed Budget,$EarningsRegular \times regularShifts + EarningsEmergency \times emergencyShifts \leq Budget$,"{'types': ['Resource Allocation and Management', 'Workforce Management'], 'domains': ['Government and Public Sector', 'Environmental and Sustainability']}","A fire department employs regular and emergency fire fighters. A regular fire fighter works HoursRegularShift per shift and earns EarningsRegular. An emergency fire fighter works HoursEmergencyShift per shift and earns EarningsEmergency. Due to wildfires in the region, the fire department needs at least MinHoursRequired hours of fire fighter time. If the fire department has a budget of Budget, how many of each should the fire department hire to minimize the total number of fire fighters?",70
185,"""The goal is to minimize the total number of hand sanitizer machines""",$\min ( \text{numManual} + \text{numMotionActivated} )$,At most 'MaxManualPercentage' of the machines can be manual,$numManual \leq MaxManualPercentage \times (numManual + numMotionActivated)$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Retail and E-commerce']}","A mall buys two types of hand sanitizer machines, which have delivery rates defined by 'DeliverRate' and energy consumptions defined by 'EnergyConsumption'. Due to hygiene concerns, at most 'MaxManualPercentage' of the machines can be manual, and at least 'MinMotionActivated' must be motion activated. The mall must achieve a minimum total delivery rate of 'MinDeliverRate' and adhere to a maximum total energy consumption of 'MaxEnergyConsumption'. The goal is to determine the number of each type of machine to minimize the total number of machines.",71
